iter	Passed	Remaining
400	17023	25429
401	17070	25392
402	17121	25363
403	17219	25403
404	17274	25378
405	17313	25331
406	17382	25325
407	17428	25287
408	17460	25230
409	17492	25172
410	17524	25114
411	17556	25056
412	17589	25000
413	17624	24946
414	17655	24888
415	17689	24832
416	17720	24774
417	17751	24716
418	17794	24673
419	17825	24616
420	17847	24546
421	17879	24488
422	17917	24440
423	17948	24382
424	17981	24327
425	18021	24282
426	18054	24227
427	18100	24191
428	18132	24134
429	18164	24078
430	18222	24056
431	18288	24045
432	18304	23968
433	18334	23911
434	18389	23884
435	18421	23830
436	18454	23774
437	18485	23718
438	18536	23687
439	18566	23630
440	18600	23577
441	18631	23521
442	18647	23446
443	18679	23391
444	18726	23355
445	18783	23331
446	18850	23321
447	18896	23283
448	18930	23231
449	18963	23178
450	18997	23125
451	19102	23159
452	19169	23146
453	19249	23149
454	19299	23117
455	19349	23083
456	19413	23066
457	19483	23057
458	19537	23027
459	19587	22993
460	19694	23026
461	19731	22977
462	19783	22945
463	19817	22892
464	19856	22845
465	19913	22819
466	19984	22808
467	20040	22781
468	20066	22719
469	20125	22695
470	20181	22666
471	20230	22631
472	20262	22576
473	20296	22522
474	20335	22476
475	20369	22423
476	20403	22371
477	20444	22326
478	20475	22271
479	20507	22216
480	20553	22177
481	20614	22154
482	20645	22098
483	20676	22043
484	20706	21987
485	20737	21931
486	20768	21877
487	20805	21828
488	20840	21778
489	20881	21733
490	20934	21701
491	20976	21658
492	21031	21628
493	21095	21607
494	21125	21552
495	21179	21521
496	21229	21486
497	21270	21441
498	21303	21389
499	21324	21324
500	21356	21271
501	21389	21219
502	21422	21166
503	21454	21113
504	21472	21046
505	21516	21006
506	21548	20953
507	21578	20898
508	21608	20844
509	21690	20839
510	21761	20824
511	21829	20806
512	21890	20781
513	21956	20760
514	22006	20724
515	22072	20704
516	22102	20649
517	22175	20634
518	22239	20611
519	22296	20581
520	22350	20549
521	22402	20513
522	22468	20492
523	22543	20478
524	22602	20449
525	22668	20427
526	22716	20388
527	22754	20341
528	22780	20283
529	22813	20230
530	22851	20183
531	22883	20130
532	22915	20077
533	22962	20038
534	22996	19987
535	23028	19934
536	23059	19882
537	23091	19829
538	23134	19786
539	23167	19735
540	23200	19684
541	23241	19639
542	23272	19586
543	23301	19532
544	23336	19482
545	23370	19432
546	23403	19381
547	23458	19348
548	23512	19315
549	23529	19251
550	23610	19240
551	23642	19188
552	23684	19144
553	23715	19092
554	23762	19053
555	23796	19002
556	23828	18951
557	23865	18904
558	23913	18865
559	23959	18825
560	23991	18774
561	24034	18731
562	24065	18679
563	24088	18621
564	24142	18587
565	24197	18553
566	24243	18513
567	24292	18475
568	24334	18432
569	24375	18388
570	24408	18338
571	24454	18297
572	24497	18255
573	24528	18204
574	24560	18153
575	24592	18102
576	24632	18057
577	24677	18017
578	24710	17967
579	24750	17923
580	24783	17873
581	24816	17823
582	24846	17771
583	24890	17730
584	24931	17686
585	24962	17635
586	25006	17594
587	25042	17546
588	25082	17502
589	25112	17451
590	25167	17417
591	25203	17370
592	25265	17340
593	25303	17295
594	25344	17251
595	25375	17200
596	25423	17161
597	25455	17112
598	25487	17062
599	25511	17007
600	25549	16961
601	25580	16912
602	25623	16869
603	25655	16820
604	25686	16770
605	25702	16710
606	25733	16661
607	25767	16613
608	25798	16563
609	25830	16514
610	25860	16464
611	25890	16414
612	25939	16376
613	25980	16333
614	26020	16289
615	26085	16261
616	26118	16213
617	26164	16173
618	26201	16127
619	26225	16073
620	26261	16027
621	26293	15979
622	26328	15932
623	26354	15880
624	26387	15832
625	26428	15789
626	26460	15741
627	26491	15692
628	26521	15642
629	26551	15593
630	26590	15549
631	26621	15501
632	26661	15458
633	26694	15410
634	26725	15362
635	26759	15315
636	26775	15258
637	26807	15210
638	26837	15161
639	26876	15118
640	26906	15069
641	26936	15020
642	26978	14978
643	27027	14940
644	27063	14895
645	27098	14849
646	27136	14805
647	27181	14765
648	27216	14719
649	27247	14671
650	27278	14624
651	27290	14565
652	27342	14529
653	27372	14481
654	27403	14433
655	27434	14386
656	27445	14328
657	27475	14280
658	27507	14233
659	27539	14187
660	27555	14132
661	27585	14084
662	27616	14037
663	27645	13989
664	27686	13947
665	27719	13901
666	27752	13855
667	27783	13808
668	27815	13762
669	27852	13718
670	27885	13672
671	27925	13630
672	27963	13586
673	28002	13544
674	28035	13498
675	28065	13451
676	28116	13414
677	28155	13371
678	28480	13464
679	28508	13415
680	28541	13369
681	28583	13327
682	28615	13281
683	28627	13225
684	28659	13179
685	28691	13133
686	28723	13086
687	28745	13035
688	28777	12989
689	28808	12942
690	28839	12896
691	28871	12850
692	28896	12801
693	28927	12754
694	28958	12708
695	28991	12662
696	29021	12616
697	29053	12570
698	29086	12524
699	29118	12479
700	29150	12433
701	29191	12391
702	29223	12346
703	29255	12300
704	29266	12246
705	29297	12200
706	29315	12149
707	29339	12100
708	29371	12055
709	29404	12010
710	29435	11964
711	29466	11919
712	29513	11879
713	29546	11835
714	29562	11783
715	29604	11742
716	29636	11697
717	29668	11652
718	29724	11617
719	29783	11582
720	29818	11538
721	29853	11494
722	29885	11449
723	29917	11404
724	29948	11359
725	29974	11312
726	30005	11267
727	30017	11215
728	30063	11175
729	30093	11130
730	30125	11085
731	30158	11041
732	30197	10999
733	30230	10955
734	30285	10919
735	30328	10878
736	30361	10834
737	30372	10782
738	30403	10738
739	30435	10693
740	30468	10649
741	30501	10605
742	30550	10567
743	30570	10518
744	30602	10474
745	30635	10430
746	30667	10386
747	30698	10342
748	30731	10298
749	30764	10254
750	30775	10203
751	30807	10159
752	30838	10115
753	30854	10066
754	30886	10022
755	30924	9980
756	30956	9937
757	30988	9893
758	31020	9849
759	31031	9799
760	31064	9756
761	31096	9712
762	31128	9668
763	31163	9626
764	31199	9584
765	31239	9543
766	31270	9499
767	31332	9465
768	31379	9425
769	31395	9377
770	31426	9334
771	31474	9295
772	31506	9252
773	31559	9215
774	31591	9171
775	31622	9128
776	31669	9089
777	31711	9048
778	31743	9005
779	31778	8963
780	31819	8922
781	31850	8879
782	31884	8836
783	31920	8794
784	31951	8750
785	31999	8712
786	32033	8669
787	32044	8621
788	32054	8572
789	32065	8523
790	32075	8475
791	32108	8432
792	32138	8389
793	32171	8346
794	32182	8298
795	32218	8257
796	32251	8214
797	32278	8170
798	32318	8130
799	32352	8088
800	32409	8051
801	32455	8012
802	32499	7973
803	32550	7935
804	32604	7898
805	32637	7855
806	32668	7812
807	32707	7772
808	32740	7729
809	32777	7688
810	32808	7645
811	32820	7598
812	32831	7551
813	32862	7509
814	32873	7461
815	32883	7414
816	32906	7370
817	32937	7328
818	32968	7286
819	33000	7243
820	33058	7207
821	33089	7165
822	33130	7125
823	33163	7083
824	33221	7047
825	33255	7005
826	33288	6963
827	33320	6921
828	33361	6881
829	33393	6839
830	33425	6797
831	33439	6752
832	33471	6710
833	33491	6666
834	33534	6626
835	33546	6580
836	33595	6542
837	33628	6501
838	33661	6459
839	33694	6418
840	33724	6375
841	33777	6338
842	33809	6296
843	33831	6253
844	33842	6207
845	33874	6166
846	33890	6121
847	33907	6077
848	33939	6036
849	33987	5997
850	34018	5956
851	34056	5915
852	34097	5876
853	34129	5834
854	34196	5799
855	34265	5764
856	34327	5727
857	34401	5693
858	34480	5659
859	34531	5621
860	34589	5584
861	34641	5545
862	34688	5506
863	34724	5465
864	34755	5424
865	34787	5382
866	34804	5339
867	34867	5302
868	34913	5263
869	34943	5221
870	34994	5182
871	35051	5145
872	35114	5108
873	35191	5073
874	35262	5037
875	35334	5001
876	35400	4964
877	35446	4925
878	35492	4885
879	35525	4844
880	35589	4807
881	35681	4773
882	35734	4734
883	35800	4697
884	35825	4655
885	35873	4615
886	35929	4577
887	35982	4538
888	36055	4501
889	36112	4463
890	36164	4424
891	36238	4387
892	36289	4348
893	36342	4309
894	36410	4271
895	36466	4232
896	36483	4189
897	36558	4152
898	36608	4112
899	36675	4075
900	36763	4039
901	36843	4002
902	36874	3961
903	36907	3919
904	36944	3878
905	36982	3837
906	37013	3795
907	37052	3754
908	37123	3716
909	37180	3677
910	37246	3638
911	37312	3600
912	37377	3561
913	37456	3524
914	37497	3483
915	37586	3446
916	37622	3405
917	37652	3363
918	37728	3325
919	37778	3285
920	37834	3245
921	37866	3203
922	37898	3161
923	37929	3119
924	37970	3078
925	38002	3036
926	38034	2995
927	38066	2953
928	38097	2911
929	38131	2870
930	38163	2828
931	38195	2786
932	38246	2746
933	38280	2705
934	38315	2663
935	38352	2622
936	38389	2581
937	38401	2538
938	38433	2496
939	38466	2455
940	38507	2414
941	38551	2373
942	38585	2332
943	38638	2292
944	38672	2250
945	38707	2209
946	38798	2171
947	38830	2129
948	38868	2088
949	38908	2047
950	38942	2006
951	38974	1965
952	39012	1924
953	39046	1882
954	39088	1841
955	39119	1800
956	39130	1758
957	39157	1716
958	39188	1675
959	39220	1634
960	39267	1593
961	39326	1553
962	39366	1512
963	39435	1472
964	39468	1431
965	39506	1390
966	39538	1349
967	39575	1308
968	39615	1267
969	39681	1227
970	39739	1186
971	39822	1147
972	39871	1106
973	39949	1066
974	40012	1025
975	40080	985
976	40140	944
977	40195	904
978	40248	863
979	40280	822
980	40326	781
981	40360	739
982	40392	698
983	40413	657
984	40446	615
985	40458	574
986	40493	533
987	40525	492
988	40558	451
989	40592	410
990	40627	368
991	40658	327
992	40675	286
993	40707	245
994	40741	204
995	40774	163
996	40826	122
997	40857	81
998	40889	40
999	40920	0
